"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","WHLI","YELI","BARN","BLMU","GRAL","BRAL","SURF","EELG","SOBK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","SHORE_PROB","LOST_SHORE","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0367/B","32","6","SE","6","5","4","","C","","","","","P","","P","","","","C","","","","S1.2.1.2.1","","113.721","5","","","Plunging","N","6.2","Moderate"
"04/01/0367/C","32","6","SE","6","7","4","","C","","","","","","","","","","","C","","","","S1.2.1.2.1","","377.188","5","","","Plunging","NE","6.2","Moderate"
"04/01/0368/A","32","3","SE","3","5","4","","","","M","","","C","P","","","","","P","C","","","S1.1","S1.2.1.2.1","189.852","11","","","Plunging","NE","6.2","Low"
"04/01/0369/A","51","7","P","7","9A","4","","","N","","","","","","","","","C","","C","","","S1.2.2.2","","268.397","1","","","Spilling","W","6.2","Low"
"04/01/0369/B","51","7","P","7","9A","4","","","N","","","","","","","","","","","C","","","S1.2.2.2","","547.503","2","","","Spilling","NW","6.2","Low"
"04/01/0370/A","54","6","P","6","9A","5","","","N","","","","","C","C","","","C","C","C","","","S1.2.1.2.1","","34.024","2","","","Spilling","S","6.2","Low"
"04/01/0371/A","41","6","SP","6","5","5","","","N","","","","","P","P","","","","C","P","","","S1.2.1.2.1","","145.975","6","","","Spilling","NE","6.2","Low"
"04/01/0371/B","41","6","SP","6","5","5","","","","N","","","","P","P","","","","C","C","","","S1.2.1.2.1","","89.246","8","","","Spilling","NE","6.2","Low"
"04/01/0372/A","41","6","SP","6","8A","5","","","N","","","","","P","C","","","","C","C","","","S1.2.1.2.1","","104.601","6","","","Spilling","NE","6.2","Low"
"04/01/0372/B","41","3","SP","3","8A","5","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","73.737","10","","","Plunging","N","6.2","Low"
"04/01/0373/A","41","6","SP","6","9A","5","","","N","","","","P","","C","","","","C","C","","","S1.2.1.2.1","","237.111","2","","","Spilling","N","6.2","Low"
"04/01/0374/A","41","7","SP","7","9A","4","","","N","","","","","","","","","C","C","C","","","S1.2.2.2","","672.76","1","","","Spilling","NE","6.2","Low"
"04/01/0375/A","51","7","P","7","9A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","126.03","1","","","Spilling","E","6.2","Low"
"04/01/0375/B","51","7","P","7","9A","4","","P","","","","","","","P","","","C","","P","","","S1.2.2.2","","1370.701","1","","","Spilling","SE","6.2","Low"
"04/01/0376/A","51","7","P","7","9A","4","","","","N","","","","","","","","","C","C","","","S1.2.2.2","","340.536","4","","","Spilling","SE","6.2","Low"
"04/01/0377/A","51","7","P","7","9A","5","","C","","","","","","","P","","","","","C","","","S1.2.2.2","","169.028","1","","","Spilling","SW","6.2","Low"
"04/01/0377/B","51","10","P","10","10A","4","","C","","","","","","","P","","","","","C","","","S1.2","S2.3","113.232","1","","","Spilling","W","4","Low"
"04/01/0378/A","32","3","SE","3","5","3","","","","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","144.219","8","","","Plunging","NW","5.38","Low"
"04/01/0379/A","32","6","SE","6","6A","4","","C","","","","","","","C","","","","C","","","","S1.2.1.2.1","","198.751","6","","","Plunging","NW","5.38","Moderate"
"04/01/0379/B","32","6","SE","6","6A","4","","C","","","","","C","","P","","","","C","","","","S1.2.1.2.1","","568.888","4","","","Plunging","NW","5.38","Moderate"
"04/02/0001/A","42","6","SP","6","5","4","","C","","","","","","","","","","","","","","","S1.2.1.2.1","","402.622","6","","","Plunging","NE","6.3","Low"
"04/02/0001/B","42","6","SP","6","5","5","","C","","","","","","","P","","","","P","","","","S1.2.1.2.1","","131.472","10","","","Plunging","NE","6.3","Low"
"04/02/0002/A","51","12","P","12","8C","5","","P","","M","","","C","","","","","","C","C","","","S3","","130.576","46","","","Collapsing","NW","6.3","Low"
"04/02/0003/A","51","12","P","12","8C","2","","","","M","","","C","","","","","","","C","","","S3","","323.937","72","","","Surging","NW","6.3","Low"
"04/02/0004/A","51","12","P","12","8C","5","","C","","","","","","","","","","","","","","","S3","","933.153","32","","","Plunging","NE","6.3","Low"
"04/02/0004/B","51","12","P","12","8C","5","","C","","","","","C","","","","","","","C","","","S3","","289.424","32","","","Plunging","SE","6.3","Low"
"04/02/0004/C","51","12","P","12","8C","5","","C","","","","","C","","","","","","","C","","","S3","","830.485","32","","","Plunging","SW","6.3","Low"
"04/02/0005/A","51","12","P","12","8C","5","","","","M","","","C","","","","","","C","C","","","S3","","213.044","38","","","Plunging","S","6.3","Low"
"04/02/0006/A","40","12","SP","12","6C","5","","","","M","","","P","","","","","","C","","","","S3","","172.394","46","","","Surging","NE","6.3","Low"
"04/02/0007/A","40","12","SP","12","6C","5","","C","","M","","","C","","C","","","","C","","","","S3","","928.631","38","","","Surging","NE","6.3","Low"
"04/02/0008/A","51","12","P","12","9A","5","","P","","N","","","C","","","","","","P","C","","","S3","","279.952","1","","","Spilling","NW","6.3","Low"
"04/02/0008/B","51","6","P","6","9A","5","","P","N","","","","","","","","","","C","C","","","S1.2.1.2.1","","360.89","2","","","Spilling","NE","6.3","Moderate"
"04/02/0009/A","61","12","VP","12","5","5","","C","","","","","","","","","","","","","","","S3","","717.892","23","","","Plunging","NE","6.3","Low"
"04/02/0010/A","51","7","P","7","9A","4","","","M","","","","C","","","","","","C","C","","","S1.2.2.2","","263.661","2","","","Spilling","NE","6.3","Low"
"04/02/0010/B","51","7","P","7","9A","4","","C","","","","","C","","","","","C","C","C","","","S1.2.2.2","","331.781","1","","","Spilling","NE","6.3","Moderate"
"04/02/0010/C","51","7","P","7","9A","4","","","M","","","","P","","","","","C","C","C","","","S1.2.2.2","","281.359","1","","","Spilling","NE","6.3","Moderate"
"04/02/0011/A","61","12","VP","12","8A","2","","","","N","","","C","","","","","","","","","","S3","","93.182","81","","","Surging","NW","6.3","Low"
"04/02/0011/B","61","12","VP","12","5","5","","C","","","","","","","","","","","","","","","S3","","872.913","23","","","Plunging","SE","6.3","Low"
"04/02/0012/A","51","7","P","7","9A","3","","","M","","","","","","","","","C","C","P","","","S1.2.2.2","","221.872","1","","","Spilling","NE","6.3","Low"
"04/02/0012/B","51","7","P","7","9A","3","","C","","","","","","","","","","C","","","","","S1.2.2.2","","569.007","0","","","Spilling","NE","6.3","Moderate"
"04/02/0013/A","51","7","P","7","9A","4","","P","M","","","","","","","","","C","","","","","S1.2.2.2","","806.654","0","","","Spilling","NE","6.3","Moderate"
"04/02/0014/A","61","8","VP","8","9A","5","","C","","","","","","","","","","","","","","","S1.2.2.3","","956.678","2","","","Spilling","SW","6.3","Low"
"04/02/0015/A","61","8","VP","8","9A","5","","C","","","","","","","","","","","","","","","S1.2.2.3","","352.879","1","","","Spilling","NW","6.3","Moderate"
"04/02/0015/B","61","12","VP","12","8C","5","","C","","","","","","","","","","","","","","","S3","","380.781","52","20","7615.62","Collapsing","NW","6.3","Low"
"04/02/0016/A","61","8","VP","8","9A","5","","C","","","","","","","","","","","","","","","S1.2.2.3","","215.097","2","","","Spilling","NE","6.3","Low"
"04/02/0017/A","61","10","VP","10","10A","5","","C","","","","","","","","","","","","","","","S1.2","S2.3","859.995","5","","","Spilling","NE","6.3","Low"
"04/02/0017/B","61","7","VP","7","9A","4","","C","","","","","","","","","","C","","","","","S1.2.2.2","","328.132","0","","","Spilling","NE","6.3","Moderate"
"04/02/0018/A","61","10","VP","10","10A","5","","C","","","","","","","","","","","","","","","S1.2","S2.3","403.601","2","","","Spilling","SE","6.3","Low"
"04/02/0019/A","61","7","VP","7","9A","4","","C","","","","","","","","","","C","","","","","S1.2.2.2","","158.365","0","","","Spilling","E","6.3","Moderate"
"04/02/0020/A","51","7","P","7","9A","4","","C","","","","","","","","","","P","","","","","S1.2.2.2","","105.477","0","","","Spilling","NE","6.3","Moderate"
"04/02/0021/A","51","7","P","7","9A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","136.952","0","","","Spilling","N","6.3","Moderate"
"04/02/0022/A","51","7","P","7","9A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","375.805","0","","","Spilling","N","6.3","Low"
"04/02/0023/A","51","7","P","7","9A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","716.11","0","","","Spilling","N","6.4","Low"
"04/02/0024/A","61","8","VP","8","9A","3","","C","","","","","","","","","","","","","","","S1.2.2.3","","439.757","0","","","Spilling","NE","6.4","Low"
"04/02/0025/A","51","8","P","8","9A","3","","C","","","","","","","","","","","","","","","S1.2.2.3","","279.334","0","","","Spilling","NE","6.4","Low"
"04/02/0026/A","61","7","VP","7","9A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","480.614","1","","","Spilling","NE","6.4","Low"
"04/02/0027/A","61","7","VP","7","10A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","114.036","1","","","Spilling","SE","6.4","Low"
"04/02/0027/B","61","7","VP","7","10A","4","","C","","","","","","","","","","","","","","","S1.2.2.2","","852.596","1","","","Spilling","S","6.4","Low"
"04/02/0028/A","61","7","VP","7","9A","4","","","M","","","","","","","","","","","","","","S1.2.2.2","","481.886","1","","","Spilling","NW","6.4","Low"
"04/02/0029/A","61","7","VP","7","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.2","","554.296","0","","","Spilling","SE","6.4","Low"
"04/02/0030/A","53","10","P","10","10A","5","","C","","","","","","","","","","","","","","","S1.2","S2.3","506.557","10","","","Plunging","S","6.4","Low"
"04/02/0031/A","53","7","P","7","9A","4","","C","","","","","","","","","","C","","","","","S1.2.2.2","","367.337","0","","","Spilling","S","6.4","Low"
"04/02/0032/A","51","7","P","7","9A","4","","C","","","","","","","","","","C","","","","","S1.2.2.2","","100.325","0","","","Spilling","SE","6.4","Low"
"04/02/0033/A","51","7","P","7","9A","4","C","P","","","","","","","","","","C","","","","","S1.2.2.2","","331.586","0","","","Spilling","SE","6.4","Low"
"04/02/0033/B","51","7","P","7","9A","4","C","","M","","","","","","","","","C","","","","","S1.2.2.2","","195.05","0","","","Spilling","SE","6.4","Low"
"04/02/0034/A","53","7","P","7","9A","4","","C","","","","","","","","","","C","C","","","","S1.2.2.2","","414.24","0","","","Spilling","SE","6.4","Low"
"04/02/0035/A","51","8","P","8","9A","3","P","","M","","","","","","","","","C","C","","","","S1.2.2.3","","843.925","0","","","Spilling","SE","6.4","Low"
"04/02/0036/A","51","8","P","8","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.3","","531.722","0","","","Spilling","SE","6.4","Low"
"04/02/0036/B","51","8","P","8","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.3","","345.497","0","","","Spilling","E","6.4","Low"
"04/02/0037/A","51","8","P","8","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.3","","198.693","0","","","Spilling","E","6.4","Low"
"04/02/0038/A","51","8","P","8","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.3","","314.168","0","","","Spilling","E","6.6","Low"
"04/02/0039/A","51","7","P","7","9A","3","","C","M","","","","","","","","","C","C","","","","S1.2.2.2","","500.874","0","","","Spilling","E","6.6","Low"
"04/02/0040/A","51","7","P","7","5","3","","C","M","","","","","","","","","C","C","","","","S1.2.2.2","","109.671","0","","","Spilling","SE","6.6","Low"
"04/02/0041/A","51","7","P","7","9A","3","","","M","","","","","","","","","C","C","","","","S1.2.2.2","","182.387","0","","","Spilling","E","6.6","Low"
"04/02/0042/A","51","7","P","7","9A","3","","P","","","","","","","","","","C","C","","","","S1.2.2.2","","1631.164","0","","","Spilling","SE","6.6","Low"
"04/02/0043/A","51","7","P","7","9A","3","","P","","","","","","","","","","C","C","","","","S1.2.2.2","","175.525","0","","","Spilling","SE","6.6","Low"
"04/02/0044/A","51","7","P","7","9A","3","","","","","","","","","","","","C","C","","","","S1.2.2.2","","156.019","0","","","Spilling","SE","6.6","Low"
"04/02/0045/A","51","7","P","7","9A","3","","","","","","","","","","","","C","C","","","","S1.2.2.2","","280.236","0","","","Spilling","SE","6.6","Low"
"04/02/0046/A","51","7","P","7","9A","3","","","","","","","","","","","","C","C","","","","S1.2.2.2","","503.681","0","","","Spilling","SE","6.6","Low"
"04/02/0047/A","51","7","P","7","9A","3","","","","","","","","","","","","C","C","","","","S1.2.2.2","","371","0","","","Spilling","SE","6.6","Low"
"04/02/0048/A","51","7","P","7","9A","3","","","","","","","","","","","","C","C","","","","S1.2.2.2","","588.625","0","","","Spilling","SE","6.6","Low"
"04/02/0048/B","51","7","P","7","9A","3","","","M","","","","","","","","","P","C","","","","S1.2.2.2","","638.205","0","","","Spilling","SE","6.6","Low"
"04/02/0049/A","41","7","SP","7","9A","3","","","M","","","","","","","","","","C","","","","S1.2.2.2","","1047.157","0","","","Spilling","SE","6.6","Low"
"04/02/0049/B","41","7","SP","7","9A","3","","","","M","","","","","","","","","C","","","","S1.2.2.2","","151.178","0","","","Spilling","SE","6.6","Low"
"04/02/0049/C","41","6","SP","6","5","4","","","M","","","","","","","","","","C","","","","S1.2.1.2.1","","578.699","0","","","Spilling","SE","6.6","Low"
"04/02/0049/D","41","6","SP","6","9A","3","","","M","","","","","","","","","","C","","","","S1.2.1.2.1","","677.949","0","","","Spilling","SE","6.6","Low"
"04/02/0050/A","41","7","SP","7","9A","3","C","","M","","","","","","","","","","C","","","","S1.2.2.2","","539.309","0","","","Spilling","E","6.6","Low"
"04/02/0050/B","41","7","SP","7","9A","4","","","M","","","","","","","","","","C","","","","S1.2.2.2","","389.406","0","","","Spilling","E","6.6","Low"
"04/02/0051/A","41","7","SP","7","9A","3","","","M","","","","","","","","","","C","","","","S1.2.2.2","","159.77","0","","","Spilling","SE","6.6","Low"
"04/02/0052/A","41","7","SP","7","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.2","","468.963","0","","","Spilling","SE","6.6","Low"
"04/02/0053/A","41","7","SP","7","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.2","","1105.376","0","","","Spilling","SE","6.6","Low"
"04/02/0053/B","41","7","SP","7","9A","3","P","","M","","","","","","","","","","","","","","S1.2.2.2","","1019.861","0","","","Spilling","SE","6.6","Low"
"04/02/0054/A","41","7","SP","7","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.2","","548.786","0","","","Spilling","SE","6.6","Low"
"04/02/0055/A","41","7","SP","7","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.2","","1027.021","0","","","Spilling","SE","6.6","Low"
"04/02/0055/B","41","7","SP","7","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.2","","767.522","0","","","Spilling","SE","6.7","Low"
"04/02/0056/A","41","6","SP","6","9A","3","","C","","","","","","","","","","","","","","","S1.2.1.2.1","","333.865","0","","","Spilling","SE","6.7","Moderate"
"04/02/0057/A","51","7","P","7","9A","4","","","M","","","","","","","","","","","","","","S1.2.2.2","","367.01","0","","","Spilling","E","6.7","Low"
"04/02/0057/B","51","7","P","7","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.2","","1424.133","0","","","Spilling","SE","6.7","Low"
"04/02/0058/A","51","7","P","7","9A","3","C","P","M","","","","","","","","","","","","","","S1.2.2.2","","231.256","0","","","Spilling","SE","6.7","Low"
"04/02/0059/A","51","6","P","6","9A","3","C","","M","","","","","","","","","","","","","","S1.2.1.2.1","","93.379","0","","","Spilling","SE","6.7","Low"
"04/02/0059/B","51","7","P","7","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.2","","186.467","0","","","Spilling","SE","6.7","Low"
"04/02/0060/A","51","6","P","6","9A","3","P","","M","","","","","","","","","","","","","","S1.2.1.2.1","","588.628","0","","","Spilling","SE","6.8","Low"
"04/02/0060/B","51","7","P","7","9A","4","","","M","","","","","","","","","","C","","","","S1.2.2.2","","358.273","0","","","Spilling","SE","6.8","Low"
"04/02/0061/A","51","7","P","7","9A","3","","P","M","","","","","","","","","","","","","","S1.2.2.2","","195.193","0","","","Spilling","SE","6.8","Moderate"
"04/02/0062/A","51","7","P","7","9A","4","","","M","","","","","","","","","","C","","","","S1.2.2.2","","896.522","0","","","Spilling","SE","6.9","Low"
"04/02/0063/A","51","8","P","8","9A","3","C","","M","","","","","","","","","","C","","","","S1.2.2.3","","319.127","0","","","Spilling","SE","6.9","Low"
"04/02/0064/A","51","8","P","8","9A","3","","","M","","","","","","","","","","C","","","","S1.2.2.3","","902.547","0","","","Spilling","SE","6.9","Low"
"04/02/0064/B","51","8","P","8","9A","3","P","","M","","","","","","","","","","","","","","S1.2.2.3","","729.36","0","","","Spilling","SE","6.9","Low"
"04/02/0065/A","51","8","P","8","9A","3","","C","","","","","","","","","","","","","","","S1.2.2.3","","566.709","0","","","Spilling","SE","6.9","Moderate"
"04/02/0066/A","51","8","P","8","9A","3","C","P","M","","","","","","","","","","","","","","S1.2.2.3","","270.818","0","","","Spilling","SE","6.9","Low"
"04/02/0067/A","51","8","P","8","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.3","","1495.826","0","","","Spilling","SE","6.9","Low"
"04/02/0068/A","51","8","P","8","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.3","","261.108","0","","","Spilling","SE","6.9","Low"
"04/02/0069/A","51","8","P","8","9A","3","","","M","","","","","","","","","","","","","","S1.2.2.3","","1100.312","0","","","Spilling","SE","6.9","Low"
"04/02/0070/A","51","8","P","8","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.3","","822.422","0","","","Spilling","SE","6.9","Low"
"04/02/0070/B","51","8","P","8","9A","3","P","","M","","","","","","","","","","","","","","S1.2.2.3","","728.598","0","","","Spilling","SE","6.9","Low"
"04/02/0070/C","51","8","P","8","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.3","","232.632","0","","","Spilling","SE","6.9","Low"
"04/02/0070/D","51","8","P","8","9A","3","C","P","M","","","","","","","","","","","","","","S1.2.2.3","","336.314","0","","","Spilling","SE","6.9","Low"
"04/02/0071/A","53","8","P","8","9A","3","P","","M","","","","","","","","","","","","","","S1.2.2.3","","527.939","0","","","Spilling","SE","6.9","Low"
"04/02/0071/B","53","8","P","8","9A","3","","C","","","","","","","","","","","","","","","S1.2.2.3","","671.452","0","","","Spilling","SE","6.9","Moderate"
"04/02/0072/A","51","8","P","8","10A","3","","","M","","","","","","","","","","","","","","S1.2.2.3","","409.26","0","","","Spilling","SE","7","Low"
"04/02/0073/A","51","8","P","8","10A","3","","","M","","","","","","","","","","","","","","S1.2.2.3","","448.549","0","","","Spilling","SE","7","Low"
"04/02/0074/A","53","8","P","8","10A","3","","C","M","","","","","","","","","","","","","","S1.2.2.3","","913.944","0","","","Spilling","SE","7","Moderate"
"04/02/0074/B","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","497.406","0","","","Spilling","SE","7","Moderate"
"04/02/0075/A","53","8","P","8","10A","3","C","","","","","","","","","","","","","","","","S1.2.2.3","","855.658","0","","","Spilling","S","7","Low"
"04/02/0075/B","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","622.522","0","","","Spilling","S","7","Moderate"
"04/02/0075/C","53","8","P","8","10A","3","","P","","","","","","","","","","","","","","","S1.2.2.3","","537.187","0","","","Spilling","S","7","Low"
"04/02/0078/A","53","7","P","7","10A","4","","","","","","","","","","","","","","","","","S1.2.2.2","","1567.692","0","","","Spilling","W","4","Moderate"
"04/02/0079/A","53","7","P","7","10A","4","","","","","","","","","","","","","","","","","S1.2.2.2","","1524.444","0","","","Spilling","NW","4","Moderate"
"04/02/0079/B","53","12","P","12","9A","4","","","","M","","","","","","","","","","","","","S3","","879.085","0","","","Spilling","W","7","Low"
"04/02/0080/A","51","8","P","8","9A","3","P","","","N","","","","","","","","","","","","","S1.2.2.3","","215.263","0","","","Spilling","W","7","Low"
"04/02/0081/A","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","644.033","0","","","Spilling","W","7","Moderate"
"04/02/0082/A","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","354.498","0","","","Spilling","NW","7","Moderate"
"04/02/0083/A","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","553.27","0","","","Spilling","NW","7","Moderate"
"04/02/0084/A","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","2001.067","0","","","Spilling","N","7","Moderate"
"04/02/0085/A","53","8","P","8","10A","3","","","","","","","","","","","","","","","","","S1.2.2.3","","807.253","0","","","Spilling","NE","7","Moderate"
"04/02/0086/A","51","7","P","7","9A","4","C","","M","","","","","","","","","","","","","","S1.2.2.2","","587.036","0","","","Spilling","N","7","Low"
"04/02/0087/A","53","7","P","7","9A","3","C","","M","","","","","","","","","","","","","","S1.2.2.2","","601.979","0","","","Spilling","N","7","Low"
"04/02/0088/A","53","7","P","7","10A","3","C","","","","","","","","","","","","","","","","S1.2.2.2","","772.535","0","","","Spilling","NW","7","Moderate"
"04/02/0089/A","53","6","P","6","10A","3","","C","","","","","","","","","","C","","","","","S1.2.1.2.1","","1718.464","0","","","Spilling","W","7","Low"
"04/02/0089/B","53","6","P","6","10A","4","","C","","","","","","","","","","C","","","","","S1.2.1.2.1","","508.362","0","","","Spilling","SW","7","Low"
"04/02/0089/C","53","7","P","7","10A","4","","","","","","","","","","","","C","","","","","S1.2.2.2","","532.931","0","","","Spilling","NW","7","Low"
"04/02/0090/A","51","7","P","7","9A","4","C","","","","","","","","","","","C","","","","","S1.2.2.2","","1102.547","0","","","Spilling","NW","7","Low"
"04/02/0091/A","53","7","P","7","10A","4","","C","","","","","","","","","","C","","C","","","S1.2.2.2","","374.124","0","","","Spilling","N","7","Moderate"
"04/02/0092/A","51","6","P","6","9A","4","C","","M","","","","","C","","","","C","C","C","","","S1.2.1.2.1","","212.583","2","","","Spilling","N","7","Low"
"04/02/0092/B","51","6","P","6","9A","5","C","","M","","","","","","","","","C","C","C","","","S1.2.1.2.1","","138.781","3","","","Spilling","N","7","Low"
"04/02/0093/A","51","6","P","6","9A","5","","P","","M","","","","","","","","C","C","C","","","S1.2.1.2.1","","134.439","3","","","Spilling","SE","7.1","Low"
"04/02/0093/B","51","7","P","7","9A","4","","","","M","","","","","","","","C","C","P","","","S1.2.2.2","","154.344","1","","","Spilling","E","7.1","Low"
"04/02/0094/A","53","7","P","7","9A","4","","C","","","","","","","","","","C","C","","","","S1.2.2.2","","191.706","0","","","Spilling","NE","7.1","Low"
"04/02/0095/A","51","7","P","7","9A","4","","C","","M","","","","","","","","C","C","C","","","S1.2.2.2","","172.615","0","","","Spilling","NE","7.1","Low"
"04/02/0096/A","50","3","P","3","5","4","","","","M","","","","","","","","C","C","C","","","S1.1","S1.2.1.2.1","162.965","4","","","Spilling","N","7.1","Low"
"04/02/0097/A","51","3","P","3","9A","5","","","","M","","","C","","","","","P","C","C","","","S1.1","S1.2.1.2.1","256.993","1","","","Spilling","E","7.1","Low"
"04/02/0097/B","51","3","P","3","5","4","","","","M","","","C","","","","","C","C","P","","","S1.1","S1.2.1.2.1","230.448","8","","","Plunging","W","7.1","Low"
"04/02/0098/A","40","1","SP","1","1A","2","","","","M","","","C","P","","","","","C","C","","","S1.1","","576.171","61","","","Surging","W","7.1","Low"
"04/02/0099/A","42","3","SP","3","8A","5","","C","","M","","","","","","","","","C","P","","","S1.1","S1.2.1.2.1","221.804","16","","","Plunging","SW","7.1","Low"
"04/02/0100/A","50","1","P","1","8A","3","","","","M","","","P","","C","","","","C","C","","","S1.1","","146.325","67","","","Surging","SW","7.1","Low"
"04/02/0100/B","50","2","P","2","6B","4","","","","M","","","P","","C","","","","C","C","","","S1.1","S1.2.1.1","157.817","19","","","Plunging","S","7.1","Low"
"04/02/0100/C","50","3","P","3","8D","5","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","95.634","9","","","Spilling","SE","7.1","Low"
"04/02/0100/D","50","6","P","6","9A","5","","","","M","","","C","","C","","","","C","C","","","S1.2.1.2.1","","161.371","3","","","Spilling","S","7.1","Low"
"04/02/0101/A","50","2","P","2","8A","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","188.035","31","","","Plunging","N","7.1","Low"
"04/02/0101/B","50","1","P","1","2A","2","","","","M","","","C","","","","","","C","C","","","S1.1","","170.963","25","","","Collapsing","NW","7.1","Low"
"04/02/0102/A","41","3","SP","3","8A","5","","P","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.2.1","96.033","10","","","Plunging","SW","7.1","Low"
"04/02/0102/B","41","2","SP","2","8D","4","","","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.1","123.917","42","","","Collapsing","SW","7.1","Low"
"04/02/0102/C","41","6","SP","6","5","5","","P","","M","","","","","","","","","C","P","","","S1.2.1.2.1","","207.446","8","","","Plunging","W","7.1","Low"
"04/02/0103/A","42","3","SP","3","8A","5","","","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.2.1","158.049","18","","","Plunging","N","7.1","Low"
"04/02/0104/A","40","2","SP","2","8D","4","","","","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.1","116.653","31","","","Plunging","NW","7.1","Low"
"04/02/0104/B","40","1","SP","1","8A","2","","","","M","","","C","P","","","","","C","C","","","S1.1","","88.794","61","","","Surging","W","7.1","Low"
"04/02/0104/C","40","3","SP","3","8D","5","","","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.2.1","37.109","12","","","Plunging","SW","7.1","Low"
"04/02/0104/D","40","2","SP","2","8D","4","","","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.1","71.834","38","","","Collapsing","SW","7.1","Low"
"04/02/0105/A","42","6","SP","6","6A","5","","P","","M","","","P","","","","","","C","P","","","S1.2.1.2.1","","75.425","10","","","Plunging","SW","7.1","Low"
"04/02/0105/B","42","3","SP","3","8A","5","","","","M","","","C","","","","","","C","C","","","S1.1","S1.2.1.2.1","217.464","17","","","Plunging","W","7.1","Low"
"04/02/0106/A","40","2","SP","2","8D","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","109.884","38","","","Collapsing","W","7.1","Low"
"04/02/0107/A","40","3","SP","3","8A","5","","","M","M","","","P","","","","","","C","P","","","S1.1","S1.2.1.2.1","95.599","10","","","Plunging","SW","7.1","Low"
"04/02/0108/A","40","3","SP","3","8A","5","","","","M","","","C","","P","","","","C","C","","","S1.1","S1.2.1.2.1","243.78","33","","","Plunging","S","7.1","Low"
"04/02/0109/A","50","3","P","3","8A","5","","","M","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","201.412","15","","","Plunging","SW","7.1","Low"
"04/02/0110/A","51","3","P","3","8A","5","","","","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","113.494","15","","","Plunging","SW","7.1","Low"
"04/02/0110/B","51","6","P","6","5","5","","C","","","","","","","","","","","C","P","","","S1.2.1.2.1","","84.141","10","","","Plunging","W","7.1","Low"
"04/02/0111/A","50","3","P","3","8A","5","","","","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","473.417","15","","","Plunging","W","7.1","Low"
"04/02/0111/B","50","3","P","3","8A","5","","","","M","","","","","P","","","","C","C","","","S1.1","S1.2.1.2.1","110.004","11","","","Plunging","SW","7.1","Low"
"04/02/0111/C","50","3","P","3","8A","5","","","","M","","","P","","P","","","","P","C","","","S1.1","S1.2.1.2.1","200.86","7","","","Spilling","W","7.1","Low"
"04/02/0111/D","50","3","P","3","8B","5","","","","M","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","160.123","15","","","Plunging","SW","7.1","Low"
