"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","WHLI","YELI","BARN","BLMU","GRAL","BRAL","SURF","EELG","SOBK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","SHORE_PROB","LOST_SHORE","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0064/B","42","1","SP","1","8D","3","","","","M","","","C","","P","","","","C","C","","","S1.1","","101.178","41","","","Surging","W","6","Low"
"04/01/0064/C","42","6","SP","6","5","5","","C","","","","","","","","","","","C","","","","S1.2.1.2.1","","38.966","9","","","Plunging","W","6","Low"
"04/01/0064/D","42","3","SP","3","8A","5","","","","M","","","C","P","","","","","C","C","","","S1.1","S1.2.1.2.1","79.887","13","","","Plunging","W","6","Low"
"04/01/0065/A","40","2","SP","2","8D","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","109.363","18","","","Plunging","SW","6","Low"
"04/01/0065/B","40","2","SP","2","8D","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","141.557","27","","","Plunging","SW","6","Low"
"04/01/0065/C","40","3","SP","3","6B","5","","","M","","","","P","","","","","","C","C","","","S1.1","S1.2.1.2.1","122.998","15","","","Plunging","SW","6","Low"
"04/01/0065/D","40","2","SP","2","8D","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","135.272","29","","","Plunging","SW","6","Low"
"04/01/0065/E","40","6","SP","6","8D","5","","","","M","","","C","","P","","","","C","C","","","S1.2.1.2.1","","81.04","13","","","Plunging","SW","5.8","Low"
"04/01/0065/F","40","3","SP","3","8D","5","","","","M","","","C","P","P","","","","C","C","","","S1.1","S1.2.1.2.1","299.424","20","","","Plunging","SW","5.8","Low"
"04/01/0065/G","40","6","SP","6","6B","5","","","M","M","","","C","P","P","","","","C","C","","","S1.2.1.2.1","","125.569","15","","","Plunging","SW","5.8","Low"
"04/01/0065/H","40","3","SP","3","8D","5","","","","M","","","C","","P","","","","C","C","","","S1.1","S1.2.1.2.1","72.303","16","","","Plunging","SW","5.8","Low"
"04/01/0065/I","40","3","SP","3","8D","5","","","","N","","","C","","","","","","C","C","","","S1.1","S1.2.1.2.1","155.35","20","","","Plunging","SW","5.8","Low"
"04/01/0066/A","40","3","SP","3","8D","4","","","","M","","","C","C","P","","","","P","C","","","S1.1","S1.2.1.2.1","119.894","11","","","Plunging","NW","5.4","Low"
"04/01/0066/B","40","1","SP","1","1A","2","","","","M","","","C","C","P","","","","C","C","","","S1.1","","83.92","20","","","Plunging","NW","5.4","Low"
"04/01/0067/A","40","1","SP","1","1A","2","","","","M","","","C","C","","","","","P","C","","","S1.1","","147.259","70","","","Surging","W","5.4","Low"
"04/01/0067/B","40","2","SP","2","8D","4","","","","M","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.1","135.676","47","","","Surging","SW","5.4","Low"
"04/01/0068/A","40","2","SP","2","6B","4","","","","M","","","C","P","P","","","","C","C","","","S1.1","S1.2.1.1","95.515","24","","","Plunging","S","5.4","Low"
"04/01/0069/A","42","3","SP","3","8D","5","","","M","M","","","P","C","","","","","","C","","","S1.1","S1.2.1.2.1","117.122","15","","","Plunging","S","5.4","Low"
"04/01/0070/A","40","2","SP","2","8A","4","","","","M","","","C","C","P","","","","P","C","","","S1.1","S1.2.1.1","91.051","38","","","Collapsing","SW","5.4","Low"
"04/01/0070/B","40","2","SP","2","6B","4","","","","M","","","C","P","C","","","","P","C","","","S1.1","S1.2.1.1","90.66","17","","","Plunging","E","5.4","Low"
"04/01/0071/A","40","6","SP","6","8D","5","","","","M","","","C","C","P","","","","C","C","","","S1.2.1.2.1","","193.775","19","","","Plunging","NE","5.4","Low"
"04/01/0072/A","40","1","SP","1","8A","3","","","","M","","","P","","C","","","","C","C","","","S1.1","","121.002","49","","","Surging","W","5.8","Low"
"04/01/0072/B","40","2","SP","2","8D","4","","","","M","","","","C","C","","","P","C","C","","","S1.1","S1.2.1.1","87.495","16","","","Plunging","E","5.8","Low"
"04/01/0073/A","40","2","SP","2","8D","4","","","","N","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.1","86.645","47","","","Surging","NE","5.4","Low"
"04/01/0073/B","40","1","SP","1","8A","3","","","","M","","","C","P","C","","","","C","C","","","S1.1","","92.924","61","","","Surging","NE","5.4","Low"
"04/01/0074/A","40","1","SP","1","8A","3","","","","M","M","","C","P","C","","","","C","C","","","S1.1","","123.72","55","","","Surging","W","5.8","Low"
"04/01/0075/A","40","6","SP","6","8D","5","","","","N","","","","C","C","","","","C","P","","","S1.2.1.2.1","","238.457","11","","","Plunging","SW","5.8","Low"
"04/01/0075/B","40","3","SP","3","8D","5","","","","N","","","C","P","C","","","C","C","C","","","S1.1","S1.2.1.2.1","47.022","10","","","Plunging","SW","5.8","Low"
"04/01/0076/A","42","6","SP","6","6B","5","","","N","","","","","","P","C","","C","C","C","","","S1.2.1.2.1","","145.916","13","","","Plunging","SW","5.8","Low"
"04/01/0076/B","42","6","SP","6","5","5","","C","","","","","","C","C","","","","C","C","","","S1.2.1.2.1","","194.335","8","","","Plunging","W","5.8","Low"
"04/01/0076/C","42","3","SP","3","8D","5","","C","","","","","","C","C","","","","C","C","","","S1.1","S1.2.1.2.1","49.772","4","","","Spilling","W","5.8","Low"
"04/01/0077/A","40","2","SP","2","8D","4","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","69.235","40","","","Collapsing","SW","5.8","Low"
"04/01/0077/B","40","5","SP","5","8D","4","","","","N","","","C","","C","","","","C","C","","","S1.2.1.1","","182.366","40","","","Collapsing","SW","5.8","Low"
"04/01/0077/C","40","6","SP","6","6B","5","","P","N","N","","","C","C","C","","","","C","C","","","S1.2.1.2.1","","185.742","20","","","Plunging","SW","5.8","Low"
"04/01/0077/D","40","1","SP","1","8A","3","","","","N","","","","","C","","","","C","C","","","S1.1","","66.643","63","","","Surging","SW","5.8","Low"
