"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0449/A","51","12","P","12","10A","5","","C","","","","","","","","","C","","","","","","","S3","","367.332","11","Plunging","N","3","Low"
"04/01/0450/A","53","10","P","10","10A","5","C","","","","","","","","","","C","","","","P","","","S1.2","S2.3","151.029","8","Spilling","N","3","Low"
"04/01/0451/A","50","3","P","3","8A","5","C","","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","103.658","24","Plunging","W","3.5","Low"
"04/01/0452/A","53","10","P","10","10A","5","C","P","","","","","","","","","C","","C","","","","","S1.2","S2.3","102.754","41","Plunging","W","3.5","Low"
"04/01/0453/A","54","6","P","6","10A","5","","C","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","101.014","19","Plunging","SW","3.5","Low"
"04/01/0453/B","54","12","P","12","5","5","","C","","","","","","","","","C","","C","","C","","","S3","","186.833","41","Plunging","W","3.5","Low"
"04/01/0454/A","50","3","P","3","5","5","","C","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","231.306","7","Spilling","W","3.5","Low"
"04/01/0455/A","53","10","P","10","10A","5","","C","","","","","","","","","","","","","","","","S1.2","S2.3","292.315","2","Spilling","S","3","Low"
"04/01/0456/A","50","12","P","12","10A","5","","P","N","","","","","","","","","","","","","","","S3","","39.139","31","Plunging","W","3","Low"
"04/01/0457/A","54","6","P","6","10A","5","C","P","","","","","","","","","","","","","","","","S1.2.1.2.1","","148.68","9","Spilling","N","3","Low"
"04/01/0457/B","54","6","P","6","10A","5","P","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","114.599","10","Plunging","W","3.5","Low"
"04/01/0458/A","54","6","P","6","9B","5","","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","36.507","24","Plunging","W","3.5","Low"
"04/01/0459/A","51","8","P","8","10A","5","P","","","","","","","","","","C","","","","","","","S1.2.2.3","","148.102","24","Plunging","N","3.5","Low"
"04/01/0460/A","54","3","P","3","5","5","C","P","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","173.74","15","Plunging","NW","4","Low"
"04/01/0460/B","54","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","153.941","33","Plunging","W","4.5","Low"
"04/01/0461/A","54","6","P","6","9A","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","288.308","12","Plunging","NW","5","Low"
"04/01/0462/A","51","6","P","6","9A","5","C","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","153.057","4","Spilling","NW","5","Low"
"04/01/0463/A","53","6","P","6","9A","5","","C","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","184.995","3","Spilling","N","5","Low"
"04/01/0464/A","51","3","P","3","9A","5","","","","N","","P","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","138.46","14","Plunging","N","5","Low"
"04/01/0465/A","51","6","P","6","9A","5","","","","N","","","","","","","C","","","","C","","","S1.2.1.2.1","","150.001","8","Spilling","NW","5","Low"
"04/01/0465/B","51","6","P","6","9A","5","","C","","","","","","","","","C","","","","P","","","S1.2.1.2.1","","73.508","4","Spilling","N","5","Low"
"04/01/0466/A","51","6","P","6","9A","5","","","N","N","","","","","","","C","","C","","C","","","S1.2.1.2.1","","131.395","6","Spilling","E","5","Low"
"04/01/0467/A","51","3","P","3","9A","5","","C","","","","","","P","","","P","","C","","C","","","S1.1","S1.2.1.2.1","154.402","3","Spilling","N","5","Low"
